Longitude,Latitude,Mean,Standard_Deviation,Max_Precipitation,New_Mean,New_Standard_Deviation,Elevation,Km,a,b,Estimated_FF,Estimated_PMP
68.375,23.875,42.53625,21.44158172,98.46,41.64857143,20.41099267,2,2.783374111,7.0,-0.0021,6.40183087744783,173.20397311416733
68.625,23.375,48.09,24.40843527,125.69,46.85825397,22.5416884,5,3.497153568,7.65,-0.003,6.622253022933878,197.36676414893353
68.625,23.625,91.27890625,74.94368409,380.35,86.69047619,66.01720441,31,4.448227192,7.65,-0.003,5.817490185269907,475.33334496413227
68.625,23.875,43.63828125,22.611685,109.82,42.58777778,21.18434099,1,3.173675417,7.74,-0.0032,6.731238729736703,186.23513778583677
68.875,23.125,86.48546875,67.80303206,365.43,82.05777778,58.44261088,20,4.848726262,6.07,-0.0006,5.763052739568636,423.29331748952774
68.875,23.375,90.0478125,71.00099393,375.97,85.50936508,61.66781116,48,4.710085042,7.69,-0.003,5.869546338013703,452.00988766749856
68.875,23.625,90.7546875,75.55824512,381.9,86.13333333,66.57946909,121,4.44231038,7.61,-0.0028,5.902346872815321,483.7298086770658
68.875,23.875,101.5729687,92.62179201,401.33,96.81492063,85.2412478,4,3.572391151,7.61,-0.0028,5.7262385091157615,589.6846844174391
68.875,24.125,99.805625,91.09857667,408.19,94.91063492,83.04926648,-4,3.772211103,7.61,-0.0028,5.754645386097872,577.7247031679447
69.125,22.125,86.0875,62.0404485,335.29,82.13190476,53.93256721,0,4.693974501,13.8,-0.0084,6.69615574391441,447.22836970729145
69.125,22.375,82.74,63.601313,322.66,78.93174603,56.40174014,5,4.321289616,13.8,-0.0084,6.887117187438322,471.1853939196239
69.125,23.125,78.78984375,56.40523129,289.61,75.44349206,50.15350893,138,4.270219822,13.8,-0.0084,7.119474415583395,435.8564674288683
69.125,23.375,86.4525,67.90095813,348.38,82.29492063,59.81181703,145,4.448704162,7.82,-0.0028,6.138727999900631,453.6209759269944
69.125,23.625,86.7265625,72.57572113,354.49,82.47634921,64.76670574,87,4.199899434,7.82,-0.0028,6.134019100478629,484.0067725842389
69.125,23.875,90.96234375,80.71964882,359.03,86.70730159,73.89411576,2,3.685309657,7.98,-0.0032,5.964700898013275,531.718642381569
69.125,24.125,90.090625,79.43567401,366.37,85.7052381,71.96778364,6,3.899866686,7.98,-0.0032,5.981362659355722,520.5560387408876
69.375,21.875,66.876875,26.75516264,158.72,65.41904762,24.31428724,5,3.837289222,7.83,-0.0052,5.53008264352816,201.3368928556822
69.375,22.125,87.075,56.1585165,308.43,83.56142857,49.12990099,48,4.577020652,7.83,-0.0052,4.978718407387319,331.67894241202947
69.375,22.875,69.99125,38.57890743,205.99,67.83253968,34.83840528,19,3.965665455,6.56,-0.0021,5.663312554263164,267.29202799273213
69.375,23.125,76.27515625,56.85629423,273.61,73.14285714,51.53665548,147,3.88979729,8.03,-0.0038,6.00948427795443,385.983877095414
69.375,23.375,79.4371875,56.82326046,269.8,76.41555556,51.92107881,129,3.724584482,8.96,-0.0047,6.168251717983006,399.6994710693135
69.375,23.625,78.9603125,59.9394209,300.05,75.45095238,53.49357685,4,4.198617121,8.96,-0.0047,6.182092202292961,409.6625368171442
69.375,23.875,81.1471875,64.47522297,347.75,76.91539683,55.47002811,0,4.882539498,17.9,-0.0108,7.451468207795973,494.48033844721397
69.375,24.125,86.56390625,70.39745198,365.24,82.14047619,61.4995432,3,4.603278481,8.07,-0.0031,6.170657355900672,466.0565148816111
69.625,21.625,63.718125,21.02775159,139.63,62.5131746,18.87492784,13,4.085675243,10.0,-0.0057,6.954519809427678,194.984184564798
69.625,21.875,92.2984375,61.01550769,373.97,87.82746032,50.02648238,27,5.719821304,10.0,-0.0057,5.909043649238138,387.90710550126266
69.625,22.125,83.57734375,49.05501794,279.82,80.46238095,42.70362937,85,4.6683999,10.0,-0.0057,6.210207030404355,348.7757230873559
69.625,22.875,69.43234375,36.29441924,206.91,67.25015873,32.14701445,21,4.34441094,10.0,-0.0057,6.731653023421686,285.83489076632316
69.625,23.125,75.98859375,55.82856806,249.72,73.23095238,51.76493977,156,3.409432106,10.0,-0.0057,6.484729521807138,411.6702268710874
69.625,23.375,72.5009375,50.68230401,255.7,69.59301587,45.47839451,66,4.092206555,8.96,-0.0047,6.372652709034039,362.3189514766703
69.625,23.625,74.529375,48.36463829,248.92,71.76126984,43.42664413,4,4.079493907,8.96,-0.0047,6.312186717675525,348.6464612706078
69.625,23.875,76.320625,49.64322395,250.27,73.55952381,44.89601794,1,3.935994422,25.0,-0.0146,8.203777343656276,444.6375597965577
69.625,24.125,76.60046875,48.91867471,245.63,73.91746032,44.38823328,5,3.868424738,8.07,-0.0031,6.364222226367804,359.0970495797751
69.625,26.875,51.43171875,60.66623081,288.21,47.67333333,53.24266123,71,4.517743124,13.0,-0.0137,6.425887866589955,393.56308953281643
69.625,27.125,34.9296875,27.52008181,131.09,33.40333333,24.90525966,67,3.922330785,14.5,-0.0162,8.234130004184257,240.00283332840579
69.875,21.375,63.876875,18.86499577,127.68,62.86412698,17.20159688,7,3.76801488,10.0,-0.0057,6.948229684632655,183.39752106470047
69.875,21.625,108.8132813,76.14660906,453.69,103.3390476,63.02729338,18,5.558718035,10.0,-0.0057,5.3781765719821575,447.78519395176215
69.875,21.875,93.3903125,62.27176409,383.52,88.78507937,50.81339909,79,5.80033861,10.0,-0.0057,5.872381812388382,391.78599314174835
69.875,22.125,79.04953125,42.99227003,257.8,76.21222222,36.91142502,120,4.919554791,10.0,-0.0057,6.372569509065901,314.2701528686242
69.875,22.375,82.42328125,52.29862905,303.4,78.91571429,44.6225051,23,5.030741444,10.0,-0.0057,6.251193402176796,361.3671907197204
69.875,22.875,67.22453125,35.10101685,190.98,65.26015873,31.69665014,5,3.966344731,10.0,-0.0057,6.816903011743358,283.29752105154154
69.875,23.125,78.0709375,59.22958833,269.08,75.03904762,54.54831034,127,3.557231217,10.0,-0.0057,6.408214924579153,427.62823393136335
69.875,23.375,74.35796875,55.43213929,281.83,71.0647619,49.26867065,140,4.27787548,8.96,-0.0047,6.31727392334719,385.601657085226
69.875,23.625,72.44234375,50.23742839,264.51,69.39365079,44.37352451,2,4.397134358,8.96,-0.0047,6.374407919519651,355.2972898035434
69.875,23.875,77.23859375,51.96434375,266.05,74.2415873,46.56504876,144,4.119149831,8.07,-0.0031,6.351645045624693,373.00325500572626
69.875,24.125,76.6615625,49.96147857,256.88,73.80095238,44.85591358,2,4.081491893,8.07,-0.0031,6.363017016474044,362.0805038990291
69.875,26.625,39.04609375,21.80975496,86.51,38.29269841,21.13974848,73,2.28088341,9.21,-0.0059,7.314933160737352,193.68194091599906
69.875,26.875,50.2265625,59.90957374,288.44,46.44539683,52.25998551,69,4.630590706,13.0,-0.0137,6.53286408465449,391.63394490284304
69.875,27.125,44.38890625,46.60694735,265.71,40.87587302,37.64089884,70,5.973133849,13.2,-0.0142,7.027945115171121,308.9270773832283
69.875,27.375,34.89734375,25.25756627,147.94,33.10301587,21.02416604,63,5.462142181,16.2,-0.0186,8.464836059113459,212.86346255818063
70.125,21.125,65.36109375,22.64611516,141.01,64.16031746,20.70525721,19,3.711602409,10.9,-0.0065,7.127180253662196,212.93119408410882
70.125,21.375,122.8551563,87.44243649,470.26,117.3407937,76.29825135,14,4.625521556,10.9,-0.0065,4.90475073554725,497.07906072988146
70.125,21.625,115.1596875,89.08067648,503.87,108.9896825,74.99941073,19,5.265112267,10.9,-0.0065,5.156328630237038,501.8812962980059
70.125,21.875,96.89,73.28516093,433.18,91.55206349,60.26919627,71,5.66836722,10.9,-0.0065,5.806498894044311,446.8430214866945
70.125,22.125,77.111875,42.85158117,252.2,74.33269841,37.02810178,165,4.803576015,10.9,-0.0065,6.603076004418573,321.61124535268664
70.125,22.375,79.743125,44.96535419,247.88,77.07428571,39.97653636,66,4.272649155,10.9,-0.0065,6.491103043390217,339.23494183059563
70.125,23.125,74.45953125,54.15025477,256.62,71.56809524,49.43407734,25,3.74340768,10.9,-0.0065,6.7179015478939546,406.5527959310955
70.125,23.375,75.04203125,53.13836691,261.91,72.07587302,48.01487678,15,3.953652278,9.7,-0.0054,6.468206817894163,385.61218459874414
70.125,23.625,73.5478125,51.94893215,270.23,70.42587302,46.01903446,1,4.341771385,9.7,-0.0054,6.520608488293708,373.6199192229567
70.125,23.875,77.53078125,52.61225232,281.86,74.28746032,46.24675144,5,4.488370171,8.85,-0.0039,6.540721053005397,380.01788202671565
70.125,24.125,80.33546875,53.11121624,286.89,77.0568254,46.66484513,1,4.496600686,8.07,-0.0031,6.290959036720723,373.9020979177466
70.125,25.875,45.46546875,22.48591607,97.34,44.64206349,21.68525585,50,2.430127497,9.04,-0.0051,7.169136993072851,200.93003866848443
70.125,26.125,43.1175,22.63343427,99.01,42.23031746,21.68016861,62,2.618968679,9.04,-0.0051,7.255500888472847,200.41798261209613
70.125,26.625,54.15640625,69.14646103,391.83,48.79650794,54.94088665,103,6.24368322,9.21,-0.0059,6.691024847687102,421.7672439791106
70.125,26.875,50.50234375,62.66889155,342.55,45.86666667,51.1312171,101,5.80239138,10.9,-0.01,6.578056597146515,386.8463837147857
70.125,27.125,43.46375,44.17499896,265.31,39.94238095,34.47902352,93,6.536368959,10.9,-0.01,7.05774283927008,286.80783135330466
70.125,27.375,37.991875,25.57264535,151.46,36.19079365,21.37127261,100,5.393651957,12.3,-0.0127,7.592056094236324,200.2437754603363
70.125,27.625,37.834375,23.90636682,130.86,36.35777778,21.00105503,86,4.499879748,13.9,-0.0155,7.732684051615931,200.22889829758952
70.375,21.125,131.2245312,90.36377731,483.75,125.6288889,79.31776272,69,4.515017807,9.02,-0.0035,5.6982463800022005,583.1966854891135
70.375,21.375,119.0010937,77.91858612,393.37,114.6460317,70.38334914,55,3.960083907,11.6,-0.0061,5.61307347791914,514.0680040448569
70.375,21.625,107.5915625,72.31714011,386.01,103.1722222,63.74029003,59,4.437346891,9.02,-0.0035,6.189621051307488,502.11980348613275
70.375,21.875,86.39609375,57.25667051,321.32,82.66714286,49.40079411,102,4.830951839,9.02,-0.0035,6.666253486562036,415.7143097247208
70.375,22.125,76.4525,45.43003106,247.63,73.73539683,40.30084697,129,4.314911876,14.2,-0.0076,7.9423004666187245,396.5339356949608
70.375,22.375,80.84765625,51.34125086,261.11,77.98634921,46.40895508,57,3.945868862,14.2,-0.0076,7.681384290739407,437.3326747511428
70.375,22.625,76.76921875,43.02392007,196.18,74.87380952,40.62652697,20,2.985886305,14.8,-0.0082,7.8862409333191295,397.1597987194076
70.375,22.875,64.78640625,29.08930846,146.65,63.48698413,27.41451363,5,3.033539715,14.8,-0.0082,8.700483941037133,303.30594183915855
70.375,23.125,62.99515625,30.01717612,153.35,61.56095238,27.9944411,1,3.278831226,14.8,-0.0082,8.829221977982337,310.164290871452
70.375,23.375,76.440625,49.29245026,236.81,73.89507937,45.31672626,27,3.59502846,14.8,-0.0082,7.90751881649116,434.7834906027291
70.375,23.625,81.28953125,53.62302343,270.08,78.29285714,48.43910405,5,3.95934538,16.9,-0.0098,7.61923686458738,450.3585385153438
70.375,23.875,79.325,51.23759133,266.26,76.35777778,45.86371064,42,4.14057693,18.3,-0.0109,7.707998530047968,432.84241419566536
70.375,24.125,77.77109375,49.29292099,257.68,74.91539683,44.11847541,3,4.142586558,7.77,-0.0025,6.397085077701091,360.00073444623354
70.375,24.375,54.35484375,24.74737347,122.27,53.2768254,23.40465202,7,2.947840222,64.8,-0.0255,16.203983186621407,433.60343157080473
70.375,25.875,49.02796875,31.3021469,159.01,47.28222222,28.29008287,97,3.949361983,9.04,-0.0051,7.040058880054527,248.19181787642196
70.375,26.125,45.32234375,44.2735636,255.3,41.98936508,35.78130943,124,5.961510027,9.04,-0.0051,7.174371925360989,302.0307655772464
70.375,26.375,50.905,60.45896206,347.49,46.19730159,47.90523301,131,6.289348355,9.04,-0.0051,6.972986933762261,384.9475638375666
70.375,26.625,56.4025,72.6301419,400.48,50.94095238,58.73538712,154,5.951081022,9.21,-0.0059,6.602940633055603,444.22877421289866
70.375,26.875,54.64328125,69.77230215,402.98,49.11412698,54.67053824,148,6.472697808,10.2,-0.0088,6.3061594439750435,399.4044122793747
70.375,27.125,41.48390625,39.88143007,250.63,38.16412698,30.1734179,164,7.041491742,10.2,-0.0088,7.08039250897872,255.1235483194444
70.375,27.375,37.87140625,22.20485862,114.33,36.65777778,20.1647417,126,3.851882825,9.8,-0.0078,7.293513685407841,184.94322580166417
70.375,27.625,37.615,22.05346486,110.85,36.45253968,20.18888662,135,3.685069996,15.0,-0.0169,7.943521581917247,197.98585658085037
70.375,27.875,38.0565625,22.92386844,107.5,36.95428571,21.35612724,99,3.303300898,17.8,-0.0207,8.096465541504143,210.96571079863799
70.625,20.875,77.99296875,32.25197168,199.29,76.06761905,28.62611482,47,4.304544354,13.7,-0.0073,7.752746447880802,299.923978737383
70.625,21.125,117.3853125,80.33262954,448.26,112.1333333,69.21296807,210,4.856411682,9.02,-0.0035,5.981047622479285,531.3513706198082
70.625,21.375,109.1490625,76.083831,408.52,104.3971429,66.59930083,83,4.566457205,9.02,-0.0035,6.155971678450817,519.132472214106
70.625,21.625,88.74328125,52.89274569,273.74,85.8068254,47.85595157,106,3.927059612,9.02,-0.0035,6.611713506532832,405.1531226133501
70.625,21.875,74.49140625,39.01622478,208.77,72.36,35.43562641,113,3.849515694,9.02,-0.0035,6.949880131762388,320.76476219341356
70.625,22.125,80.94625,51.948406,260.29,78.09952381,47.14685559,150,3.864318711,13.9,-0.0074,7.636096857724018,440.9642058223671
70.625,22.375,84.50765625,53.28657613,240.84,82.02619048,49.90429785,79,3.182367378,13.9,-0.0074,7.437480759323191,455.6699113169087
70.625,22.625,79.39265625,48.37618158,211.17,77.30095238,45.79724275,52,2.923080945,16.2,-0.0092,7.8037064344739155,436.78089417933893
70.625,22.875,76.3634375,48.59460571,225.84,73.99079365,45.15124278,18,3.363123515,14.8,-0.0082,7.912525365931376,433.62379130007594
70.625,23.125,63.889375,28.72448971,147.94,62.5552381,26.91241561,10,3.172690373,14.8,-0.0082,8.76471766108104,299.76909939932005
70.625,23.375,79.0596875,53.08732914,256.41,76.24460317,48.53677048,96,3.71193623,14.8,-0.0082,7.739505086697295,454.7102695218191
70.625,23.625,86.35265625,54.81577035,269.35,83.44793651,50.12454514,35,3.708803002,16.9,-0.0098,7.250406894557945,449.77600391963693
70.625,23.875,82.43234375,54.12738496,278.17,79.32539683,48.5641691,22,4.094471436,18.3,-0.0109,7.451299993736291,444.2985366606382
70.625,24.125,77.51421875,52.10783866,270.69,74.44793651,46.43912288,1,4.225791775,7.77,-0.0025,6.40119452515109,374.7800778822747
70.625,25.875,49.9096875,32.74574027,177.98,47.8768254,28.71971563,159,4.53009968,9.04,-0.0051,7.008472456881171,251.19102346231466
70.625,26.125,39.59796875,26.10854208,140.48,37.99666667,22.98628135,177,4.458456407,9.04,-0.0051,7.386910139408929,209.39556352162137
70.625,26.375,43.78265625,41.79043264,222.06,40.95285714,35.5199198,164,5.098748642,9.04,-0.0051,7.23092977530057,300.6247019481082
70.625,26.625,48.5646875,53.51019716,279.78,44.89460317,45.2409311,214,5.191878043,9.21,-0.0059,6.91545107255824,361.4261329990284
70.625,26.875,48.1196875,50.13968208,286.93,44.32904762,40.42622219,197,6.001078984,9.8,-0.0078,6.733188618300832,320.3170666306085
70.625,27.125,38.735,31.42847137,194.28,36.26603175,24.7648116,225,6.380584306,10.2,-0.0088,7.25375829660857,218.37295760744814
70.625,27.375,37.381875,23.12625969,118.61,36.09253968,20.90264288,167,3.947704642,9.8,-0.0078,7.3214160643403625,190.4188203688017
70.625,27.625,38.31734375,23.44518829,114.42,37.10936508,21.56414351,135,3.585147487,15.0,-0.0169,7.849792448217064,207.59139462706702
70.625,27.875,35.34984375,23.04100736,144.59,33.61587302,18.62495438,102,5.958356981,16.5,-0.019,8.42929677886115,192.34511171176985
70.875,20.875,116.1032812,80.3559211,461.88,110.6147619,68.0561624,56,5.161402373,9.02,-0.0035,6.007945540206321,524.9809985746372
70.875,21.125,114.0359375,94.86775644,535.77,107.341746,79.21341973,226,5.408531224,9.02,-0.0035,6.051574903679471,593.4018803726963
70.875,21.375,101.3125,77.79811365,436.2,95.9968254,65.88026471,210,5.163961864,9.02,-0.0035,6.327154342149706,518.1471029218485
70.875,21.625,84.64109375,51.44452695,273.95,81.63619048,45.94195815,154,4.186016819,9.02,-0.0035,6.707326966385319,392.7888285380407
70.875,21.875,69.9440625,33.11810842,164.45,68.44396825,31.14804453,136,3.082249085,12.6,-0.0064,8.053081505985295,320.78180385214944
70.875,22.125,78.62953125,48.97209085,226.46,76.28301587,45.65020032,211,3.2897333,13.9,-0.0074,7.768136546308825,433.24652070211084
70.875,22.375,83.73046875,51.62234737,215.27,81.64253968,49.27637935,151,2.71179543,13.9,-0.0074,7.480378343482059,452.3364296849465
70.875,22.625,82.69234375,47.41804854,197.86,80.86428571,45.50039992,121,2.57131178,16.2,-0.0092,7.570368003972271,427.1471154723105
70.875,22.875,77.32953125,42.75048982,190.47,75.53365079,40.62267876,52,2.829364107,14.8,-0.0082,7.850090218415581,396.2212244297144
70.875,23.125,73.69625,45.18286638,214.76,71.45714286,41.86914841,0,3.42263606,14.8,-0.0082,8.087486016264009,412.3124022787575
70.875,23.375,73.25859375,46.66732124,221.64,70.90333333,43.09737391,0,3.497583564,14.8,-0.0082,8.116562377581925,423.0611174004868
